Usina elétrica;Dispositivo;Categoria;Evento;Subevento/Categorização;Data de início;Data Final;Duração;Descrição de categorização
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 05:04:07.161;2025/01/24 05:04:34.377;00:00:27;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 05:05:06.504;2025/01/24 05:05:20.597;00:00:14;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 05:07:02.142;2025/01/24 05:07:03.156;00:00:01;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 05:07:38.391;2025/01/24 05:07:58.487;00:00:20;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 05:08:28.641;2025/01/24 05:08:44.751;00:00:16;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 05:10:28.468;2025/01/24 05:10:29.484;00:00:01;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 05:11:31.835;2025/01/24 05:11:54.988;00:00:23;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 05:14:19.892;2025/01/24 05:14:51.098;00:00:31;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 05:15:47.469;2025/01/24 05:15:49.471;00:00:02;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 05:16:57.861;2025/01/24 05:16:59.862;00:00:02;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 05:18:22.381;2025/01/24 05:18:48.502;00:00:26;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 05:19:17.674;2025/01/24 05:19:26.738;00:00:09;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 05:19:56.894;2025/01/24 05:20:10.001;00:00:13;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 05:21:08.338;2025/01/24 05:21:21.431;00:00:13;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 05:22:12.716;2025/01/24 05:22:22.770;00:00:10;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 05:22:52.951;2025/01/24 05:23:08.072;00:00:15;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 05:23:39.276;2025/01/24 05:24:22.573;00:00:43;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 05:26:18.229;2025/01/24 05:26:28.309;00:00:10;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 05:29:49.525;2025/01/24 05:30:07.625;00:00:18;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 05:31:25.091;2025/01/24 05:31:47.202;00:00:22;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 05:32:50.616;2025/01/24 05:33:05.702;00:00:15;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 05:33:46.965;2025/01/24 05:34:17.106;00:00:30;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 05:35:17.450;2025/01/24 05:35:44.620;00:00:27;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 05:36:26.825;2025/01/24 05:36:31.857;00:00:05;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 05:37:03.074;2025/01/24 05:37:32.246;00:00:29;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 05:38:17.542;2025/01/24 05:38:30.622;00:00:13;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 05:39:00.823;2025/01/24 05:39:11.873;00:00:11;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 05:39:43.058;2025/01/24 05:39:48.088;00:00:05;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 05:41:36.738;2025/01/24 05:42:07.940;00:00:31;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 05:42:39.111;2025/01/24 05:43:02.282;00:00:23;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 05:44:34.820;2025/01/24 05:45:08.003;00:00:33;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 05:45:39.237;2025/01/24 05:46:17.475;00:00:38;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 05:54:32.474;2025/01/24 05:55:07.678;00:00:35;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 05:55:38.880;2025/01/24 05:55:57.990;00:00:19;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 05:56:50.304;2025/01/24 05:57:09.383;00:00:19;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 06:00:34.676;2025/01/24 06:00:56.761;00:00:22;
